"expo","outcome","mean","low95ci","up95ci"
"B95","J45",-0.03735,-0.04591,-0.02879
"B95","J47",0.00772,0.00206,0.01338
"B95","J90",0.07754,0.06297,0.09212
"B95","J96",0.04507,0.03436,0.05577
"B95","J98",0.04393,0.03287,0.05499
"B95","K02",-0.00187,-0.00521,0.00148
"B95","K13",0.00034,-0.00386,0.00454
"B95","K20",-0.00801,-0.01279,-0.00323
"B95","K21",-0.01329,-0.02571,-0.00087
"B95","K22",-0.00197,-0.00878,0.00484
"B95","K25",-0.00221,-0.00647,0.00205
"B95","K29",-0.03212,-0.04204,-0.02219
"B95","K30",-0.01503,-0.01986,-0.0102
"B95","K31",-0.00849,-0.01564,-0.00134
"B95","K43",0.01047,0.00403,0.01692
"B95","K44",-0.02643,-0.03682,-0.01605
"B95","K52",0.00137,-0.00706,0.00979
"B95","K56",0.0254,0.01582,0.03499
"B95","K57",-0.02509,-0.03844,-0.01174
"B95","K58",-0.00927,-0.01466,-0.00387
"B95","K59",0.05353,0.03876,0.06831
"B95","K62",-0.02185,-0.02852,-0.01519
"B95","K63",-0.01584,-0.02416,-0.00752
"B95","K64",-0.00648,-0.01454,0.00158
"B95","K66",0.00825,0.00162,0.01488
"B95","K76",0.01822,0.00861,0.02783
"B95","K80",-0.00662,-0.01501,0.00177
"B95","K81",0.00128,-0.0019,0.00445
"B95","K83",0.00881,0.00267,0.01496
"B95","K92",0.00999,6e-04,0.01937
"B95","L03",0.13132,0.11235,0.15029
"B95","L57",-0.00601,-0.00774,-0.00428
"B95","L72",0.00267,-0.00349,0.00883
"B95","L82",-0.00281,-0.00638,0.00076
"B95","L90",0.00212,-0.00185,0.00609
"B95","L98",0.01285,0.00509,0.0206
"B95","M06",-0.00074,-0.00559,0.0041
"B95","M13",-0.01269,-0.02215,-0.00323
"B95","M15",-0.00227,-0.0084,0.00385
"B95","M16",-0.01327,-0.02105,-0.00549
"B95","M17",-0.02097,-0.02955,-0.01239
"B95","M19",0.00552,-0.00708,0.01813
"B95","M20",-0.01611,-0.02141,-0.01082
"B95","M23",-0.01431,-0.01901,-0.0096
"B95","M25",0.01482,0.00409,0.02554
"B95","M35",-0.0042,-0.00793,-0.00046
"B95","M43",-0.00091,-0.0044,0.00257
"B95","M47",-0.00173,-0.00912,0.00565
"B95","M48",0.00143,-0.00431,0.00717
"B95","M51",-0.00449,-0.01008,0.00111
"B95","M54",0.00534,-0.00528,0.01595
"B95","M65",0.00298,-0.00339,0.00936
"B95","M67",-0.00383,-0.00718,-0.00047
"B95","M75",-0.01255,-0.01636,-0.00875
"B95","M79",0.02009,0.00778,0.0324
"B95","M81",0.00681,-0.00407,0.01768
"B95","M85",0.00952,0.00172,0.01731
"B95","N13",0.01653,0.0093,0.02375
"B95","N17",0.11024,0.09391,0.12658
"B95","N18",0.02319,0.0137,0.03268
